Cat,Sub,Dimension,Category,Subcategory,DEFINITION,,,,,,,,,,,,,,,,,,,,
1,0,Culture & Society,Integration and acceptance,Integration and acceptance,"Indicators that demonstrate or refer to everyday signs of integration, cooperation, respect, and equal treatment between different groups (age, race, religion, ethnicity). These can be shown in public activities or private feelings on the individual or group level.",,,,,,,,,,,,,,,,,,,,
1,1,Culture & Society,Integration and acceptance,Personal value,"Includes any indicators that refer to understanding or respect of an individual’s worth as a person or to restoring value and human connection to a member of another group, ethnicity, or religion. Indicators in this sub-category should recognize either the individual relationship or a belief about the wider community.",,,,,,,,,,,,,,,,,,,,
1,2,Culture & Society,Integration and acceptance,Political,Any indicators that deal with group level or wider political coexistence or acceptance. Any indicators that refer to political interactions (coexistence) between individuals should be coded under Category 9: Government as 9.5 Political Coexistence.,,,,,,,,,,,,,,,,,,,,
1,3,Culture & Society,Integration and acceptance,Social,"This sub-category is for indicators that refer to any actions or expressions of acceptance and integration on the social level. This sub-category should not be confused with 6.2 Personal relationships. While similar, this sub-category is about social trends and not group or personal relationships.",,,,,,,,,,,,,,,,,,,,
2,0,Security,Tranquility/security ,Tranquility/security ,"Indicators that demonstrate or refer to everyday signs of integration, cooperation, respect, and equal treatment between different groups (age, race, religion, ethnicity). These can be shown in public activities or private expressions on the individual or group level.",,,,,,,,,,,,,,,,,,,,
2,1,Security,Tranquility/security ,Sense of safety,"Indicators related to real physical security, physical dangers, or threats to an individual or group within or outside the community. Includes indicators relating to fear of various threats to physical safety, as well as the direct experience of such threats.",,,,,,,,,,,,,,,,,,,,
2,2,Security,Tranquility/security ,Confidence,"Not that different from sub-category 2.1 Safety. However, it references the feeling of confidence and safety as well as perceived threats to physical safety to an individual or group within or outside the community.",,,,,,,,,,,,,,,,,,,,
2,3,Security,Tranquility/security ,Movement,"This narrow subcategory only includes indicators related to the willingness, ability, or comfort to move within or between communities within Mostar or the process of moving between said places.",,,,,,,,,,,,,,,,,,,,
2,4,Security,Tranquility/security ,Technology,,,,,,,,,,,,,,,,,,,,,
3,0,Culture & Society,Public space,Public space,"Included are any indicators related to physical security as well as physical dangers and threats, both real and perceived. As well as the direct experience of such threats or the absence of said emotions or experiences. This category also includes indicators that refer to the safety and ability to move in public spaces inside or between communities.",,,,,,,,,,,,,,,,,,,,
3,1,Culture & Society,Public space,Open Spaces,"Indicators that deal with the non-organized/spontaneous use of parks by private individuals or groups. This can include political demonstrations, individuals walking through a park, individuals selling goods in the public square, etc. NOT included are any planned or organized activities, those should be coded under 3.7 Activities.",,,,,,,,,,,,,,,,,,,,
3,2,Culture & Society,Public space,Public Ownership,"Indicators that specifically reference the use of public spaces for national, cultural, or religious holidays by individuals or groups.",,,,,,,,,,,,,,,,,,,,
3,3,Culture & Society,Public space,Comfort ,Specifically refers to indicators revolving around the sense of comfort or ease that private citizens (individual or group level) have with using or being in public spaces throughout the city.,,,,,,,,,,,,,,,,,,,,
3,4,Culture & Society,Public space,Integration,This subcategory refers to indicators discussing the perceived comfort level of individuals and groups of different ethnicities and religions in using a public space. Also included are indicators that deal with representation of different individuals and groups in activities that occur in public spaces.,,,,,,,,,,,,,,,,,,,,
3,5,Culture & Society,Public space,Use of outdoors,"Indicators that discuss the use of natural spaces (e.g., national parks, the river, forest, etc.). NOT included are city parks, roads, etc.",,,,,,,,,,,,,,,,,,,,
3,6,Culture & Society,Public space,Historical cultural monuments,References any indicator that discusses Stari Most in any way.,,,,,,,,,,,,,,,,,,,,
3,7,Culture & Society,Public space,Activities,"This includes any organized activity that will use or be located in a public space. The activities can be sponsored, planned, or run by either private citizens, local NGO’s, citizens associations, or the local government.",,,,,,,,,,,,,,,,,,,,
3,8,Culture & Society,Public space,Condition,Includes ONLY indicators that discuss the physical condition of public spaces.,,,,,,,,,,,,,,,,,,,,
4,0,Rights & Dignity,Criminality and Legal Enforcement,Criminality and Legal Enforcement,"This category will include all indicators that mention the judicial system or legal crime prevention. The most common indicators in this category are about fines and judicial judgments, although mention of state reactions to organized crime or corruption fall under this category as well. This could include, but is not limited to, racial provocations, hate crimes, illegal gambling, drug-based crime, and other illegal activities. It can also include “sanctions” handed out by clubs or groups to their own members. This is NOT the category that will be used to reference instances of government corruption.",,,,,,,,,,,,,,,,,,,,
4,1,Rights & Dignity,Criminality and Legal Enforcement,Sport & Hooliganism,"Any laws, sanctions, or crimes related to, or occurring during, sporting events or activities such as hooliganism. They can be committed by local community members or external actors located within the community.",,,,,,,,,,,,,,,,,,,,
4,2,Rights & Dignity,Criminality and Legal Enforcement,Corruption ,ndicators that deal with corruption. This includes actions undertaken by political officials and members of political parties. Also included are indicators that discuss economic corruption by businesses and individuals.,,,,,,,,,,,,,,,,,,,,
4,3,Rights & Dignity,Criminality and Legal Enforcement,Non-violent Crime,This sub-category included any crimes committed by community members or other individuals located inside the community. This is a wide ranging sub-category for generalized non-violent crimes.,,,,,,,,,,,,,,,,,,,,
4,4,Rights & Dignity,Criminality and Legal Enforcement,Violent Crime,This specific sub-category only includes violent crimes committed by community members or other individuals located inside the community. ,,,,,,,,,,,,,,,,,,,,
5,0,Armed Actors,Police,Police,"Category 5 includes any indicators that mentions any actions of, or reactions to the local Mostar Police or national Police forces. This code should be used in any situation that mentions or refers to the presence or involvement of the police, regardless of what other additional categories the indicator may fall into. The general category “Police” should be used for indicators that reference the military in some way but do not fall into any of the other sub-categories. This category should be used first before assigning an indicator to another category.",,,,,,,,,,,,,,,,,,,,
5,1,Armed Actors,Police,Accountability ,"Includes any indicators that deals with how responsive the police are to members of the public. Indicators referencing corruption and anti-corruption efforts are included in this category. Additionally, any indicators discussing communications (verbal, written, and electronic) between the police and a non-government individual or group are included.",,,,,,,,,,,,,,,,,,,,
5,2,Armed Actors,Police,Interactions ,Directly references the level of integration internal to the Mostar police force. NOT included are any indicators that deal with interactions between the police and community members.,,,,,,,,,,,,,,,,,,,,
