#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
1,Mir se stvara kroz zajedništvo,Peace is achieved through togetherness,8.0,5.0,8.0,21,6.11,1.0,Cooperation & Coexistence ,Social Relations,Culture & Society,Integration and acceptance,Integration and acceptance,Culture & Society
6,Životinje nisu napuštene na Bunici,Animals are not abandoned at Bunica,4.0,2.0,8.0,14,10.7,,Animals,Social Programs / Social Services,Rights & Dignity,,,
7,Kulturne institucije nemaju nacionalne predznake,Cultural institutions don't have national symbols.,8.0,4.0,2.0,14,8.0,3.4,Nationalism,Nationalism,Culture & Society,Integration,Public space,Culture & Society
8,Penjači u Blagaju su jedan primjer organizacija koje nešto rade u Blagaju,Climbers in Blagaj are an example of organization that is accomplishing something.,3.0,10.0,1.0,14,12.3,9.7,Activities,Sport,Culture & Society,Citizens' associations,Governance,Rights & Dignity
11,Postoje kontejneri za otpad u Blagaju,"In Blagaj, there are trash containers (dumpsters)",5.0,5.0,3.0,13,18.1,17.2,Waste management Services,Environment,Rights & Dignity,Public Spaces ,Infrastructure,Economic Activity & Livelihoods
12,"U Blagaju postoji ambulanta koja radi 24 sati, a ne 3 sata dnevno","In Blagaj, health clinics are available 24 hours a day, not 3 hours a day.",3.0,4.0,6.0,13,23.3,,Youth Health,Health,Rights & Dignity,,,
13,Ljudi su za to da se ukinu sve tri nacionalne stranke,People are in favor of abolishing all three national parties.,4.0,7.0,2.0,13,9.9,,Political parties,Governance,Rights & Dignity,,,
15,Pokazujemo da su svi ljudi dobrodošli u Blagaj,We demonstrate that everyone is welcome in Blagaj.,7.0,2.0,3.0,12,1.3,,Social,Integration and acceptance,Culture & Society,,,
16,Ljudi poštivaju različitosti,People respect diversity,6.0,2.0,4.0,12,1.1,,Personal value,Integration and acceptance,Culture & Society,,,
17,Trebala bi biti policajaca na različitim mjesta u Blagaju,There should be police officers stationed at different locations in Blagaj.,3.0,3.0,6.0,12,5.0,,Police,Police,Armed Actors,,,
18,Ljude koji su pripadnici odredene stranke ne poguraju brzo da dobiju posao,People who belong to a certain political party are not enabled to find work quickly.,6.0,2.0,4.0,12,4.2,20.2,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Hiring & employment,Business,Economic Activity & Livelihoods
22,U Eko centar je svako dobrodošao.,The Eco Center is open to everyone.,3.0,7.0,1.0,11,1.0,9.7,Integration and acceptance,Integration and acceptance,Culture & Society,Citizens' associations,Governance,Rights & Dignity
24,Ne postoje murali sa likovima ratnih zločinaca,There are no murals depicting war criminals.,3.0,5.0,2.0,10,7.1,,Memorialization,Legacies of War,Dealing with the Past,,,
25,Sve vjerske knjige uče da ljudi vole svoju vjeru ali i da poštoju i druge vjere,All religious books teach how people should love and respect their own religion while also respecting other people's beliefs,6.0,1.0,3.0,10,14.1,1.0,Religious education,Religion,Culture & Society,Integration and acceptance,Integration and acceptance,Culture & Society
26,Ljudi nisu prisiljeni bježati u inostranstvo,People are not forced to flee to another country.,4.0,1.0,5.0,10,2.1,20.7,Sense of safety,Tranquility/security ,Security,Migration,Business,Economic Activity & Livelihoods
28,Omladina se zalaže za zajednicu,The youth advocate for the community.,3.0,1.0,5.0,9,15.1,6.4,Engagement,Youth,Culture & Society,Activism,Social Relations,Culture & Society
29,Neretva nije granica,The Neretva is not a boundary,4.0,2.0,3.0,9,2.3,7.0,Movement,Tranquility/security ,Security,Legacies of War,Legacies of War,Dealing with the Past
30,Ljudi u Blagaju moraju rješavati probleme u Blagaju,Blagaj residents must solve problems in Blagaj.,4.0,4.0,1.0,9,3.2,,Public Ownership,Public space,Culture & Society,,,
31,U Blagaju postoji što više sportskih sala,There are many sports halls in Blagaj.,,6.0,3.0,9,12.1,,Facilities,Sport,Culture & Society,,,
32,"Osoba koja nije u stranci, može dobiti državni posao",A individual who is not a member of a political party can work a state job.,4.0,1.0,4.0,9,4.2,20.2,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Hiring & employment,Business,Economic Activity & Livelihoods
37,Preduzeće za smeće pokupi smeće u Blagaju više nego jednom sedmično,The waste company collects waste in Blagaj more than once a week.,4.0,1.0,3.0,8,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
38,"Na putu prema Blagaju, postoji rasvjeta",The road to Blagaj is illuminated.,2.0,2.0,4.0,8,17.3,17.1,Public Lighting,Infrastructure,Economic Activity & Livelihoods,Roads,Infrastructure,Economic Activity & Livelihoods
44,Mostar nije podijeljen na nacionalne strane,Mostar is not divided by national sides.,4.0,2.0,1.0,7,2.3,3.4,Movement,Tranquility/security ,Security,Integration,Public space,Culture & Society
45,U Blagaju ima mladi koji mogu da stvore normalnu zajednicu,There are young people in Blagaj who can help create a normal community.,3.0,2.0,2.0,7,15.1,,Engagement,Youth,Culture & Society,,,
46,Mediji ne favoriziraju jednu stranu kad su pitanju ratnohuškačke vijesti,"When it comes to war-mongering news, the media does not prefer one side over the other.",4.0,3.0,,7,13.0,,Media,Media,Culture & Society,,,
50,Ne ističu se zastave Herceg – Bosne pod kojim je moj otac odveden u logor,There are no visible flags of Herceg-Bosnia in Blagaj; these flags were used when taking men from Blagaj in detention camps.,1.0,3.0,2.0,6,7.1,8.5,Memorialization,Legacies of War,Dealing with the Past,Political Symbols,Nationalism,Culture & Society
51,Mir je suživot s drugim nacijama.,Coexistence with other ethnic groups is the definition of peace.,2.0,2.0,2.0,6,1.0,6.9,Integration and acceptance,Integration and acceptance,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
52,U Blagaju ima prostor gdje se ljudi mogu sastati i pričati o novinama u zajednici,There is a place in Blagaj where people can meet and discuss community matters.,,5.0,1.0,6,3.0,6.11,Public space,Public space,Culture & Society,Cooperation & Coexistence ,Social Relations,Culture & Society
53,U Blagaju postoji park za djecu,There is a children's park in Blagaj,1.0,5.0,,6,3.1,15.2,Open Spaces,Public space,Culture & Society,Infrastructure,Youth,Culture & Society
54,Na Kuli herceg Stjepana Kosače postoji zipline,There is a zipline at Herceg Stjepan Kosaca Fort.,4.0,1.0,1.0,6,12.1,3.7,Facilities,Sport,Culture & Society,Activities,Public space,Culture & Society
60,Ja imam slobodu govora ovdje i negdje drugo,I have freedom of speech both here and elsewhere.,4.0,,1.0,5,2.2,6.8,Confidence,Tranquility/security ,Security,Language,Social Relations,Culture & Society
61,Nema smeća na kupalištu Bunica (kupalište se održava),There is no trash at Bunica beach (the swimming place is maintained),,2.0,3.0,5,18.1,3.8,Waste management Services,Environment,Rights & Dignity,Condition,Public space,Culture & Society
62,Postoje prave spalionice za otpad,There are real incinerators for waste,1.0,1.0,3.0,5,18.1,,Waste management Services,Environment,Rights & Dignity,,,
