#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
3,"U „krugu“ na Bulevaru, gdje je sto za stoni tenis, postoji rasvjeta pa se tu ne skupljaju narkomani","In Bulevar’s 'circle', where the ping pong table is located, drug users do not gather, because it’s well lit.",16.0,9.0,5.0,30,16.4,17.3,Usage,Drugs & Alcohol,Rights & Dignity,Public Lighting,Infrastructure,Economic Activity & Livelihoods
4,Postoji povjerenik MZ Cernica,The Mjesna zajednica of Cernica has a commissioner.,2.0,12.0,6.0,20,9.6,,Mjesna zajednica,Governance,Rights & Dignity,,,
5,Mladi sa zapadne strane se ne dogovaraju preko društvenih mreža gdje će ići da se biju,The youth from the West side of Mostar do not plan through social media platforms where they should go to fight.,9.0,3.0,7.0,19,6.5,4.1,Technology ,Social Relations,Culture & Society,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity
6,U „krugu“ na Bulevaru postoji rasvjeta,Bulevar’s 'circle' is illuminated.,4.0,4.0,11.0,19,17.3,3.1,Public Lighting,Infrastructure,Economic Activity & Livelihoods,Open Spaces,Public space,Culture & Society
7,Prostorije MZ Cernica nisu uvijek zaključane,The premises of the Mjesna zajednica of Cernica aren’t always locked.,1.0,6.0,3.0,10,9.3,9.6,Political functionality,Governance,Rights & Dignity,Mjesna zajednica,Governance,Rights & Dignity
8,Na Bulevaru nema narkomana,There aren’t any drug users in Bulevar.,3.0,5.0,10.0,18,16.4,,Usage,Drugs & Alcohol,Rights & Dignity,,,
10,Stare ruševine u kojima se se prije okupljali narkomani i dileri su srušene/poravnate,The old ruins where drug users and dealers used to gather have been demolished / leveled,8.0,4.0,4.0,16,17.4,16.1,Buildings,Infrastructure,Economic Activity & Livelihoods,Prevention,Drugs & Alcohol,Rights & Dignity
11,"Policija daje novčane kazne od 400 KM na licu mjesta za narušavanje javnog reda i mira, kao i u Sarajevu","The ruined buildings are destroyed, where previously drug users and dealers gathered.",8.0,5.0,3.0,16,5.1,4.3,Accountability ,Police,Armed Actors,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity
12,Roditelje nije strah da će osobe iz komšiluka njihovu djecu uvući u svijet droge,Parents are not scared of the fact that some people from their neighborhood could drag their children into the world of narcotics.,7.0,2.0,7.0,16,16.4,23.3,Usage,Drugs & Alcohol,Rights & Dignity,Youth Health,Health,Rights & Dignity
14,"Kad je kućni red (14:00-17:00 h) niko se ne dere, pa ljudi mogu spavati","During quiet hours (2 to 5 pm) no one yells, therefore people can sleep.",9.0,3.0,3.0,15,6.12,3.2,Neighbor Relations,Social Relations,Culture & Society,Public Ownership,Public space,Culture & Society
15,"Djeca sa Bulevara mogu da koriste igralište za fudbal, koje su sami uređivali.",Children who live in Bulevar can use the football/soccer field that they themselves made.,3.0,4.0,7.0,14,12.1,15.2,Facilities,Sport,Culture & Society,Infrastructure,Youth,Culture & Society
16,"Momka od 15-16 godina, koji oko 11-12 sati navečer šeta psa, na Bulevaru preko puta Doma zdravlja ne čeka grupa navijača Zrinjskog da ga prebiju",There are no Zrinjski fans waiting to beat up a 15 or 16 year old boy who was walking his dog in the evening along Bulevar across from the hospital at 11 or 12 in the evening.,6.0,1.0,5.0,12,4.1,15.0,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Youth,Youth,Culture & Society
17,"Ljudi s Bulevara i Cernice mogu ići u najbližu ambulantu - Dom zdravlja na Bulevaru, a ne na Carinu.",People from Bulevar and Cernica can go to the nearest clinic on Bulevar and not the one in Carina.,3.0,3.0,6.0,12,23.2,1.0,Medical services,Health,Rights & Dignity,Integration and acceptance,Integration and acceptance,Culture & Society
19,Ljudi ne bacaju otpad u Neretvu,People don’t throw trash into the Neretva river.,3.0,6.0,2.0,11,18.2,3.2,Waste prevention,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
27,"Komšija, vlasnik psa, ne dozvoli da njegov pas nekoga ujede dok ga drži na povocu",The neighbour who owns a dog doesn’t allow his dog to bite someone while leashed.,1.0,1.0,8.0,10,10.7,6.12,Animals,Social Programs / Social Services,Rights & Dignity,Neighbor Relations,Social Relations,Culture & Society
29,"Djeca od 17-18 godina sa zapadne strane ne ustaju ujutro u 7-8 sati svakog februara, kako bi na Partizanskom groblju kamenovali starije ljude iz udruženja antifašista s istočne strane, koji dolaze da obilježe oslobođenje Mostara","Children aged 17-18 from the west side do not get up at 7-8 in the morning every February to stone older people from the anti-fascist association from the east, who come to mark the liberation of Mostar, at the Partisan Cemetery.",5.0,,4.0,9,4.4,6.1,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Us V Them,Social Relations,Culture & Society
30,Prolaznici u Cernici nisu primorani sklanjati svoju djecu ispred jurećih automobila,The passengers in Cernica are not forced to move their children to get away from the speeding cars.,6.0,1.0,2.0,9,21.2,21.3,Traffic,Motor Vehicles ,Culture & Society,Pedestrian Safety,Motor Vehicles ,Culture & Society
31,"Igralište, kao glavna atrakcija na Bulevaru, nije uništeno","The playground, which is seen as the main attraction on Bulevar, isn't ruined.",3.0,1.0,5.0,9,3.8,12.1,Condition,Public space,Culture & Society,Facilities,Sport,Culture & Society
