#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
2,"Kada se ljudi iz BiH sretnu u inozemstvu, ne pitaju jedni druge da li su Hrvati, Srbi, Bošnjaci.","When people from B&H meet abroad, they don't ask each other whether they are Croats, Serbs, Bosniaks.",8.0,7.0,4.0,19,6.9,20.7,Ethno-religious identity,Social Relations,Culture & Society,Migration,Business,Economic Activity & Livelihoods
3,Smrčenjaci su asfaltirani.,Srmrčenjaci [an intersection] is paved.,3.0,10.0,6.0,19,17.1,21.0,Roads,Infrastructure,Economic Activity & Livelihoods,Motor Vehicles ,Motor Vehicles ,Culture & Society
6,"Djevojka iz Cima je učena da voli svoju vjeru, a poštuje tuđe.",A girl from Cim is taught to love her faith and respect another's.,4.0,6.0,6.0,16,14.1,6.9,Religious education,Religion,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
8,"Susjedi u Cimu su u dobrim odnosima, jer često međusobno razgovaraju.",Neighbors in Cim are in good relations because they talk to each other often.,6.0,5.0,4.0,15,6.12,6.2,Neighbor Relations,Social Relations,Culture & Society,Personal relationships,Social Relations,Culture & Society
9,Susjedi u Cimu su u dobrim odnosima jer se poznaju.,Neighbors in Cim are in good relations because they know each other.,2.0,5.0,8.0,15,6.12,6.2,Neighbor Relations,Social Relations,Culture & Society,Personal relationships,Social Relations,Culture & Society
15,Mostarski polumaraton okuplja ljude iz regije.,Mostar's half-marathon gathers people from the region.,2.0,5.0,7.0,14,12.3,20.4,Activities,Sport,Culture & Society,Tourism,Business,Economic Activity & Livelihoods
16,Stari most je turistička atrakcija.,The Old Bridge is a tourist attraction.,5.0,7.0,2.0,14,3.6,20.4,Historical cultural monuments,Public space,Culture & Society,Tourism,Business,Economic Activity & Livelihoods
17,Komunalna služba redovno odvozi otpad iz Cima.,The utility service regularly takes trash out of Cim.,2.0,5.0,6.0,13,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
18,Cim ima svoju mjesnu zajednicu.,Cim has its own MZ,4.0,9.0,,13,9.6,,Mjesna zajednica,Governance,Rights & Dignity,,,
19,Most u Ilićima je turistička atrakcija.,The bridge in Ilići is a tourist attraction.,4.0,7.0,2.0,13,3.6,20.4,Historical cultural monuments,Public space,Culture & Society,Tourism,Business,Economic Activity & Livelihoods
21,"Kad je brat čovjeka iz Cima trebao ići na liječenje u Zagreb, 7-8 ljudi im je neočekivano dalo velik novac za liječenje.","When the brother of a man from Cim had to go for treatment in Zagreb, 7-8 people unexpectedly gave him a lot of money for the treatment.",4.0,5.0,3.0,12,23.2,6.1,Medical services,Health,Rights & Dignity,Us V Them,Social Relations,Culture & Society
22,Roditelji uče svoju djecu da poštivaju starije.,Parents teach their kids to respect the elderly.,3.0,4.0,5.0,12,6.6,15.2,Inter-generational Relations,Social Relations,Culture & Society,Infrastructure,Youth,Culture & Society
23,Ljudi kažu „oprosti“ kad pogriješe.,People say sorry when they make a mistake.,4.0,3.0,5.0,12,1.0,6.0,Integration and acceptance,Integration and acceptance,Culture & Society,Social Relations,Social Relations,Culture & Society
24,U Mostaru studiraju studenti iz čitave BiH.,There are students from all over B&H studying in Mostar,4.0,3.0,5.0,12,19.3,,School inclusivness,Education,Rights & Dignity,,,
26,U Cimu nema buke kao u Mostaru.,There's no noise in Cim like in Mostar.,1.0,3.0,7.0,11,3.0,2.0,Public space,Public space,Culture & Society,Tranquility/security ,Tranquility/security ,Security
27,"Mladi ostaju u Mostaru, jer mogu naći posao.",Young people stay in Mostar because they can find a job.,4.0,6.0,1.0,11,20.8,20.5,Livelihoods,Business,Economic Activity & Livelihoods,Youth employment,Business,Economic Activity & Livelihoods
31,U Cimu nema rupa na cestama.,There are no holes on the roads in Cim.,4.0,4.0,2.0,10,17.1,3.8,Roads,Infrastructure,Economic Activity & Livelihoods,Condition,Public space,Culture & Society
32,Uoči izbora se ne priča stalno o politici.,On the eve of the elections there is not constant talk about politics.,2.0,3.0,5.0,10,9.3,9.5,Political functionality,Governance,Rights & Dignity,Political coexistence,Governance,Rights & Dignity
36,Žena iz Cima osjeća se domaća i na lijevoj i na desnoj strani.,A woman from Cim feels at home both on the left and on the right side.,8.0,1.0,,9,1.3,22.3,Social,Integration and acceptance,Culture & Society,Safety and comfort,Gender,Culture & Society
37,Cim ima osnovnu školu.,Cim has an elementary school.,2.0,5.0,2.0,9,19.0,17.4,Education,Education,Rights & Dignity,Buildings,Infrastructure,Economic Activity & Livelihoods
38,"Žena, koja je izgubila muža u ratu, ne gleda osobe druge nacionalnosti kroz taj nesretni događaj.",The woman who lost her husband in war doesn't look at persons of other nationality through that unlucky event.,5.0,4.0,,9,7.0,6.1,Legacies of War,Legacies of War,Dealing with the Past,Us V Them,Social Relations,Culture & Society
39,U Mostaru ima što više tvornica u kojima ljudi rade pa imaju duševni mir.,There are more factories in Mostar where people work so they have peace of mind.,2.0,6.0,1.0,9,23.1,20.2,Mental Health,Health,Rights & Dignity,Hiring & employment,Business,Economic Activity & Livelihoods
44,"Ljudi iz Cima su psihički lakše podnosili izolaciju jer su boravili u svojim dvorištima, nego ljudi koji su živjeli u zgradama u Mostaru.",People from Cim psychologically endured isolation easier - because they stayed in their yards - than people who lived in [apartment] buildings in Mostar.,5.0,1.0,2.0,8,23.1,3.5,Mental Health,Health,Rights & Dignity,Use of outdoors,Public space,Culture & Society
46,"Roditelj iz Cima je, bez političkih veza, pokrenuo inicijativu da se obnovi park za djecu u Cimu.",A parent from Cim started an initiative without political connections to renew a park for kids in Cim.,2.0,5.0,,7,6.4,3.8,Activism,Social Relations,Culture & Society,Condition,Public space,Culture & Society
47,"Djevojka iz Cima može uvijek posuditi nešto od susjeda. (npr. so, šećer)","A girl from Cim can always borrow something from the neighbors (e.g. salt, sugar)",,1.0,6.0,7,6.1,,Us V Them,Social Relations,Culture & Society,,,
48,Žene sijele po kućama jedna kod druge u Cimu.,"Women have ""sijelo"" [social gathering] at their houses in Cim.",3.0,4.0,,7,22.0,11.4,Gender,Gender,Culture & Society,Informal,Socializing,Culture & Society
49,"U Mostaru studiraju studenti iz čitavog regiona (iz Hrvatske, Srbije, s Kosova).","There are students from the region (from Croatia, Serbia, Kosovo) studying in Mostar.",3.0,2.0,2.0,7,19.3,,School inclusivness,Education,Rights & Dignity,,,
50,Mostar Summer Fest okuplja ljude iz čitave regije.,Mostar Summer Fest gathers people from all over region.,,4.0,3.0,7,3.7,1.3,Activities,Public space,Culture & Society,Social,Integration and acceptance,Culture & Society
51,Povjerenje među ljudima u Mostaru je ponovo izgrađeno nakon rata.,Trust between people in Mostar is rebuilt after the war.,1.0,1.0,5.0,7,7.5,1.3,Reconciliation,Legacies of War,Dealing with the Past,Social,Integration and acceptance,Culture & Society
52,U Mostaru se ne drogira puno osoba.,In Mostar not many people take drugs.,1.0,3.0,3.0,7,16.4,,Usage,Drugs & Alcohol,Rights & Dignity,,,
56,U Cimu je dosta ljudi rodbinski povezano.,In Cim there are plenty of people who are related.,3.0,3.0,,6,6.2,,Personal relationships,Social Relations,Culture & Society,,,
57,Ljudi iz Cima nemaju predrasude na osnovu vjere.,People from Cim don't have prejudice based on faith.,4.0,1.0,1.0,6,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
58,Cijela Avenija u Mostaru je asfaltirana.,The whole Avenue in Mostar is paved.,1.0,5.0,,6,17.1,3.8,Roads,Infrastructure,Economic Activity & Livelihoods,Condition,Public space,Culture & Society
59,Ljudi zaposleni u privatnom sektoru mogu dići kredit da plate svoj stan.,People who work in private sector can get credit to pay for their apartments.,,6.0,,6,20.8,,Livelihoods,Business,Economic Activity & Livelihoods,,,
60,Žena iz Cima ne mora misliti 24 sata dnevno kako da zaradi novac za svoju obitelj.,A woman from Cim doesn't have to think 24 hrs a day about how to make money for her family.,5.0,1.0,,6,20.8,23.1,Livelihoods,Business,Economic Activity & Livelihoods,Mental Health,Health,Rights & Dignity
61,Svim studentima se sviđa noćni život u Mostaru.,All students like the night life in Mostar.,,,6.0,6,11.0,15.0,Socializing,Socializing,Culture & Society,Youth,Youth,Culture & Society
62,Policijske kazne su srazmjerne primanjima.,Police fines are in accordance with pay.,2.0,2.0,2.0,6,5.1,20.8,Accountability ,Police,Armed Actors,Livelihoods,Business,Economic Activity & Livelihoods
70,Ljudi u Cimu odmah samoorganizirano očiste snijeg sa ulica.,People Cim immediately organize themselves to clean the snow from the streets.,2.0,2.0,1.0,5,3.2,6.1,Public Ownership,Public space,Culture & Society,Us V Them,Social Relations,Culture & Society
71,Žena iz Cima ne mrzi ljude druge vjere.,A woman from Cim doesn't hate people of other faiths.,4.0,1.0,,5,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
72,Normalni ljudi ne vrijeđaju nikoga na nacionalnoj osnovi.,Normal people don't insult anyone because of their nationality.,3.0,1.0,1.0,5,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
73,Ljudi iz Mostara se ne dijele po nacionalnosti kada odu u inozemstvo.,People from Mostar don't divide themselves by nationality when they go abroad.,3.0,2.0,,5,6.1,20.7,Us V Them,Social Relations,Culture & Society,Migration,Business,Economic Activity & Livelihoods
74,"U Cimu nema fizičkih sukoba na nacionalnoj osnovi, jer je jednonacionalna zajednica.",In Cim there are no physical conflicts based on nationality because it is a mono-ethnic community.,3.0,1.0,1.0,5,4.4,6.3,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Social Trust,Social Relations,Culture & Society
75,"Djeci, koja su rođena poslije rata, roditelji ne usađuju mržnju prema drugim vjerama.",Parents of kids born after the war don't instill hate towards other faiths.,1.0,2.0,2.0,5,15.2,6.1,Infrastructure,Youth,Culture & Society,Us V Them,Social Relations,Culture & Society
76,"U Cimu je lijepo oslikan pješački prijelaz kod škole, pa je povećana prometna sigurnost za djecu.","In Cim there's a nicely painted crosswalk near the school, increasing traffic safety for kids.",1.0,,4.0,5,21.3,17.1,Pedestrian Safety,Motor Vehicles ,Culture & Society,Roads,Infrastructure,Economic Activity & Livelihoods
77,Mladi dobiju posao u roku od 2 godine nakon što diplomiraju.,Young people get a job within 2 years from when they graduated.,3.0,1.0,1.0,5,20.5,,Youth employment,Business,Economic Activity & Livelihoods,,,
78,Ljudi ne govore drugima da su ludi ako idu kod psihologa.,People don't tell others they're crazy if they visit a psychologist.,3.0,1.0,1.0,5,23.1,23.2,Mental Health,Health,Rights & Dignity,Medical services,Health,Rights & Dignity
84,Ne smatra se sramotnim koristiti bicikl kao sredstvo prijevoza.,It's not considered shameful to use a bike as a mode of transportation.,,2.0,2.0,4,2.3,1.1,Movement,Tranquility/security ,Security,Personal value,Integration and acceptance,Culture & Society
85,"U ekipama, koje sudjeluju u malonogomentnom turniru, igraju osobe i drugih nacionalnosti.",People of different nationalities play in teams who participate in football tournaments.,3.0,1.0,,4,12.3,12.4,Activities,Sport,Culture & Society,Inclusion,Sport,Culture & Society
86,"Svi žitelji se okupljaju svake godine 12.6. na velikom slavlju, kada je proslava svetog Ante, zaštitnika Cima.","All residents gather every year on 12 June at the big celebration of St. Anthony, patron saint of Cim.",2.0,2.0,,4,3.7,14.2,Activities,Public space,Culture & Society,Interfaith relations,Religion,Culture & Society
87,Ljudi rade na sebi kroz čitanje.,People work on themselves by reading.,3.0,1.0,,4,11.3,23.1,Individual Leisure,Socializing,Culture & Society,Mental Health,Health,Rights & Dignity
88,"U Mostaru ne postoje samo bogati i siromašni, nego i srednji stalež.","There aren't only reach and poor people in Mostar, but middle class also.",2.0,2.0,,4,20.8,,Livelihoods,Business,Economic Activity & Livelihoods,,,
89,Parking kod Kosače je siguran.,Parking at Kosača [the Croatian Cultural Center] is safe.,2.0,2.0,,4,21.1,3.3,Parking,Motor Vehicles ,Culture & Society,Comfort ,Public space,Culture & Society
90,Ulice u Cimu ne poplivaju kada pada kiša.,Streets in Cim aren't flooded when it rains.,2.0,1.0,1.0,4,17.1,3.8,Roads,Infrastructure,Economic Activity & Livelihoods,Condition,Public space,Culture & Society
91,Građanin Cima ne mora imati političke veze sa HDZ-om kako bi pokrenuo inicijativu za opće dobro.,A resident of Cim doesn't need to have political connections with the HDZ [Croatian Democratic Party] to start initiative for greater good.,2.0,2.0,,4,4.2,6.4,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Activism,Social Relations,Culture & Society
92,Ljudi iz MZ Cim znaju ko je predsjednik Mjesne zajednice.,People from MZ Cim know who is the president of the MZ,4.0,,,4,9.6,,Mjesna zajednica,Governance,Rights & Dignity,,,
93,Ljudi u Mostaru imaju financijsku sigurnost pa ih nije briga tko je koje nacionalnosti.,People in Mostar have financial security so they don't care who is of which nationality.,4.0,,,4,20.8,6.9,Livelihoods,Business,Economic Activity & Livelihoods,Ethno-religious identity,Social Relations,Culture & Society
94,"Kada muslimani koje rade u državnim institucijama slave Bajram, njihove kolege katolici ne idu ranije s posla.","When muslims who work in state institutions celebrate Eid, their Catholic colleagues don't get off earlier from work.",3.0,1.0,,4,20.3,14.3,Worker’s protection and rights,Business,Economic Activity & Livelihoods,Religious beliefs and practices,Religion,Culture & Society
95,Mostar Blues festival okuplja publiku iz čitavog grada.,Mostar Blues Festival gathers a crowd from all over the city.,,,4.0,4,3.7,1.3,Activities,Public space,Culture & Society,Social,Integration and acceptance,Culture & Society
96,"Rijetko se dešavaju pljačke u Cimu, i to su obično profesionalci koji stalno mijenjaju naselja.",Robberies rarely occur in Cim and those that do are usually profesionals who constantly change neighborhoods.,,3.0,1.0,4,4.3,,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity,,,
97,"Ne događaju se tuče ni u gradskim, kao ni u prigradskim naseljima.",There are no fights in the city or in the surburban area.,1.0,2.0,1.0,4,4.4,2.0,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Tranquility/security ,Tranquility/security ,Security
98,"Kad žena kaže da je rođena u Jarama, niko joj ne kaže „Bog te mazo!“.","When a woman says she's born in Jare [a village near Mostar] no one tells her ""Bog te mazo"" [for God's sake]",2.0,1.0,1.0,4,1.3,6.1,Social,Integration and acceptance,Culture & Society,Us V Them,Social Relations,Culture & Society
99,U Mostaru ne postoje dijelovi grada u kojem se žene osjećaju nesigurno.,There are no parts of the city of Mostar where women feel insecure.,2.0,1.0,1.0,4,22.3,,Safety and comfort,Gender,Culture & Society,,,
100,"Čovjek iz Cima je protiv korištenja izraza ""lijeva"" i ""desna"" strana.","A man from Cim is against using terms ""left"" and ""right"" side [of Mostar]",2.0,1.0,1.0,4,6.8,1.3,Language,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
117,Djevojka iz Cima ode u prirodu (na Gorance) kada se želi opustiti.,A girl from Cim goes out into nature (to Goranci [a village near Mostar]) when she wants to relax.,,2.0,1.0,3,11.3,3.5,Individual Leisure,Socializing,Culture & Society,Use of outdoors,Public space,Culture & Society
118,"Mostar nije imao jake epidemiološke mjere tijekom pandemije kao ostatak svijeta, pa su ljudi lakše podnosili izolaciju.","Mostar didn't have strong epidemic measures during the pandemic like the rest of the world, so people handled the isolation much easier.",,1.0,2.0,3,23.1,9.3,Mental Health,Health,Rights & Dignity,Political functionality,Governance,Rights & Dignity
119,Ljudi rade na sebi kroz razmjenu mišljenja.,People work on themseves through exchanging opinions.,3.0,,,3,11.0,23.1,Socializing,Socializing,Culture & Society,Mental Health,Health,Rights & Dignity
120,Ljudi iz Cima nemaju predrasude na osnovu rase.,People from Cim don't have prejudice based on race.,2.0,,1.0,3,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
121,Stanari Cima se imaju kome obratiti da prijave problem u Cimu.,Residents in Cim have someone to whom to report a problem in Cim.,3.0,,,3,9.4,,Accessibility ,Governance,Rights & Dignity,,,
122,Djevojka koja je završila razrednu nastavu ne mora praviti torte kako bi zaradila novac.,A girl who graduated [with a degree] in elementary school teaching doesn't have to make cakes to earn money.,,,3.0,3,20.8,19.0,Livelihoods,Business,Economic Activity & Livelihoods,Education,Education,Rights & Dignity
123,Država daje financijske poticaje privatnicima.,The state supports financially the owners of private companies.,3.0,,,3,20.6,9.8,Small businesses,Business,Economic Activity & Livelihoods,Access to public funds,Governance,Rights & Dignity
124,Humanitarna utrka „Protiv raka dojke“ okuplja ljude iz čitavog Mostara.,"The humanitarian race ""Against Breast Cancer"" gathers people from all over Mostar.",,,3.0,3,12.3,6.4,Activities,Sport,Culture & Society,Activism,Social Relations,Culture & Society
125,Žene iz Cima zajedno idu na fitness.,Women from Cim go together to fitness class.,1.0,1.0,1.0,3,23.5,22.4,Physical fitness,Health,Rights & Dignity,Gender based activities,Gender,Culture & Society
126,Žene iz Cima na fitnessu prenose pozitivnu energiju jedna na drugu.,Women from Cim share positive energy among them at fitness class.,3.0,,,3,23.1,23.5,Mental Health,Health,Rights & Dignity,Physical fitness,Health,Rights & Dignity
127,Niti jedna navijačka skupina ne napada žene na ulici.,There is not one hooligan crew to attack women on the streets.,,2.0,1.0,3,4.1,22.3,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Safety and comfort,Gender,Culture & Society
128,"Ljudi u BiH mogu prepoznati ako je neki medij pod utjecajem nekoga, po načinu na koji pišu o jednoj te istoj temi.",People from B&H can recognize if some media is influenced by someone in the way they write about a certain subject.,1.0,,2.0,3,13.0,4.2,Media,Media,Culture & Society,Corruption ,Criminality and Legal Enforcement,Rights & Dignity
