#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
1,"Bošnjaci i Hrvati u Mostaru se ne moraju slagati oko mišljenja, ali mogu naći zajednički jezik.","Bosniaks and Croats don't have to agree on everything, but can find a common language",5.0,,2.0,7,6.1,6.9,Us V Them,Social Relations,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
3,Djeca svih nacija u Mostaru idu zajedno u školu.,Children of all ethnicities go to school together,3.0,1.0,3.0,7,15.5,19.3,Inclusion,Youth,Culture & Society,School inclusivness,Education,Rights & Dignity
7,"Mir dugo traje, pa su ljudi zaboravili na rat.","It has been peace for a long time, so people have forgotten about the war",2.0,,,2,7.1,2.1,Memorialization,Legacies of War,Dealing with the Past,Sense of safety,Tranquility/security ,Security
8,Razdvajanje ljudi na nacionalnoj osnovi čovjeku iz Podhuma tjera suze na oči.,The separation of people on a national basis brings tears to the eyes of the man from Podhum.,,,2.0,2,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
10,U Podhumu roditelji ne brane djeci da se druže s „drugima“.,"Parents in Podhum don't forbid their children to play with ""the others""",,,1.0,1,15.2,6.1,Infrastructure,Youth,Culture & Society,Us V Them,Social Relations,Culture & Society
12,"""Novokomponovani"" u Podhumu ne gledaju ružno kada prođe gospođa koja je obučena prilično njenoj vjeri (s maramom)","""Newcomers"" in Podhum do not look ugly when a lady who is dressed according to her faith (with a headscarf)",2.0,,,2,14.2,6.1,Interfaith relations,Religion,Culture & Society,Us V Them,Social Relations,Culture & Society
13,9. razred škole svake godine organizuje školski nogometni turnir,There is a school football tournament every year organized by nine graders,,1.0,1.0,2,19.4,12.3,Student activities,Education,Rights & Dignity,Activities,Sport,Culture & Society
16,Auta parkirana u DUM-u se ne guraju u Radobolju.,The cars parked at DUM are not being pushed into Radobolja,1.0,,,1,4.3,21.0,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Motor Vehicles ,Motor Vehicles ,Culture & Society
18,"Bošnjačko dijete iz Podhuma, ide u školu u Podhum, koja mu je udaljena 100 m, i otac je ne mora svaki dan voziti u školu u Donju mahalu.","A Bosniak child from Podhum goes to school in Podhum, which is 100 m away, and her father does not have to drive her to school in Donja mahala every day.",1.0,1.0,,2,19.3,15.5,School inclusivness,Education,Rights & Dignity,Inclusion,Youth,Culture & Society
19,"Bošnjačko dijete, koje živi u Podhumu, ne ignorišu druga djeca koja nisu Bošnjaci.",A Bosniak child living in Podhum is not ignored by other non-Bosniak children,,2.0,,2,15.5,,Inclusion,Youth,Culture & Society,,,
20,"Bošnjak, koji je u ratu 4 godine proveo u rovu, bez problema komunicira s Hrvatom (ratnim vojnim invalidom).","A Bosniak, who had been in the trenches for four years, can normally communicate with a Croat (a disabled war veteran)",1.0,,,1,6.9,7.5,Ethno-religious identity,Social Relations,Culture & Society,Reconciliation,Legacies of War,Dealing with the Past
