#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
8,Poslovi se ne dobivaju preko političkih veza.,Jobs aren't acquired through political connections.,6.0,3.0,9.0,18,20.2,4.2,Hiring & employment,Business,Economic Activity & Livelihoods,Corruption ,Criminality and Legal Enforcement,Rights & Dignity
10,U Zaliku dobro prihvataju osobe koje tek dosele.,In Zalik residents welcome people who have moved in.,9.0,1.0,7.0,17,6.1,,Us V Them,Social Relations,Culture & Society,,,
11,Roditelji su svjesni da djeca upijaju sve što se govori oko njih.,Parents are aware that kids absorb everything they hear around them.,6.0,5.0,6.0,17,19.5,15.0,Family-based Education,Education,Rights & Dignity,Youth,Youth,Culture & Society
12,"Djeca se druže bez problema, kada im se objasni da ne postoje razlike između ljudi različitih nacionalnosti.","When you explain that there are no differences between people of different nationalities, kids hang out with each other without any problems.",4.0,2.0,11.0,17,15.5,1.1,Inclusion,Youth,Culture & Society,Personal value,Integration and acceptance,Culture & Society
13,U Zaliku su sva mjesta sigurna.,In Zalik all places are safe.,3.0,5.0,9.0,17,2.0,3.0,Tranquility/security ,Tranquility/security ,Security,Public space,Public space,Culture & Society
16,Nemamo ličnih negativnih situacija na drugoj strani grada.,We (residents of Zalik) don't have any personal negative issues on the west side of the city.,2.0,1.0,13.0,16,6.1,1.3,Us V Them,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
17,"Generalno, Zalik je jedna velika familija.","All in all, Zalik is one big family.",3.0,5.0,8.0,16,6.3,1.3,Social Trust,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
18,"Ako neki Musliman ima bradu, to ne znači da Musliman bez brade nije pravi Musliman.","If some Muslims have a beard, that doesn't mean that those without beards aren't real Muslims.",2.0,5.0,9.0,16,14.3,,Religious beliefs and practices,Religion,Culture & Society,,,
19,Poslovi se ne dobivaju preko rodbinskih veza.,Jobs aren't gotten through family connections.,4.0,2.0,10.0,16,20.2,4.2,Hiring & employment,Business,Economic Activity & Livelihoods,Corruption ,Criminality and Legal Enforcement,Rights & Dignity
21,Stanovnici koji žive na Putu za Podvelež su se dogovorili da se njihovo smeće odvozi 2 puta sedmično.,Residents who live on way to Podvelež they agreed for their trash to be picked up twice a week.,2.0,3.0,10.0,15,18.1,6.1,Waste management Services,Environment,Rights & Dignity,Us V Them,Social Relations,Culture & Society
23,"Ljudi koji imaju različite običaje i načine života, nemaju sukoba.",People who have different traditions and lifestyles don't have conflicts.,3.0,1.0,10.0,14,6.1,1.0,Us V Them,Social Relations,Culture & Society,Integration and acceptance,Integration and acceptance,Culture & Society
26,Zalik je čisto naselje.,Zalik is a clean community.,6.0,1.0,6.0,13,18.0,,Environment,Environment,Rights & Dignity,,,
27,Pacijentkinja ne dobija termin za mamografiju tek za 2 godine.,A female patient doesn't have to wait 2 years to get an appointment for a mammogram.,5.0,1.0,7.0,13,23.2,22.0,Medical services,Health,Rights & Dignity,Gender,Gender,Culture & Society
28,"Ljudi koji jednom budu kažnjeni, neće više kršiti zakon.*",People who get punished once won't break the law again.,5.0,1.0,7.0,13,4.0,,Criminality and Legal Enforcement,Criminality and Legal Enforcement,Rights & Dignity,,,
29,Migranti ne napadaju ljude u Zaliku.,Immigrants don't attack people in Zalik.,4.0,6.0,3.0,13,4.4,6.7,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Immigration,Social Relations,Culture & Society
31,"Ljudi iz Zalika se ne sastaju samo individualno, nego i organizovano, kako bi riješili probleme u zajednici.","People from Zalik don't meet up just individually, but they also organize meetings to solve problems in their community.",3.0,1.0,8.0,12,11.0,3.2,Socializing,Socializing,Culture & Society,Public Ownership,Public space,Culture & Society
32,U Sjevernom nema pasa lutalica.,There are no stray dogs at Sjeverni Logor (University Campus),7.0,2.0,3.0,12,10.7,,Animals,Social Programs / Social Services,Rights & Dignity,,,
39,"Pored prostorija MZ Zalik postoji neko mjesto, gdje se građani mogu sastajati i popiti kafu, čaj.","Next to the MZ Zalik space, a place exists where citizens can meet up and drink coffee or tea.",1.0,5.0,5.0,11,11.1,9.6,Cafes and Space,Socializing,Culture & Society,Mjesna zajednica,Governance,Rights & Dignity
40,Povjerenik MZ daje savjete stanovnicima kome da se obrate ako im je nešto potrebno.,The MZ Commissioner gives advice to citizens about who they can turn to if they need something.,5.0,3.0,3.0,11,9.6,9.3,Mjesna zajednica,Governance,Rights & Dignity,Political functionality,Governance,Rights & Dignity
41,U Zaliku uvijek sretnete poznate ljude koji tu žive.,In Zalik you always see familiar faces of those who live there.,2.0,4.0,5.0,11,6.0,,Social Relations,Social Relations,Culture & Society,,,
47,"U Zaliku, čak i ako te neko ne pozdravi, neće ti ništa ružno reći.","In Zalik even if someone doesn't greet you, they won't say anything bad to you.",2.0,1.0,7.0,10,6.3,,Social Trust,Social Relations,Culture & Society,,,
48,Bošnjakinja iz Zalika ima prijateljice koje žive na zapadnoj strani.,A Bosniak woman from Zalik has friends who live on the west side of Mostar.,2.0,4.0,4.0,10,6.9,6.2,Ethno-religious identity,Social Relations,Culture & Society,Personal relationships,Social Relations,Culture & Society
49,Postoji rasvjeta na stepenicama prema Gornjem Zaliku.,There are street lights on the stairs towards Gornji Zalik (Upper Zalik).,5.0,,5.0,10,17.3,,Public Lighting,Infrastructure,Economic Activity & Livelihoods,,,
50,"Dječak iz Zalika nema problema, jer ne navija za Velež.",A boy from Zalik who doesn't cheer for Velež doesn't have any problems (because of it.),4.0,1.0,5.0,10,15.0,12.0,Youth,Youth,Culture & Society,Sport,Sport,Culture & Society
51,Mladi u Mostaru se upoznaju kroz zajedničke projekte.,Young people in Mostar meet each other through mutual projects.,,4.0,6.0,10,15.1,15.5,Engagement,Youth,Culture & Society,Inclusion,Youth,Culture & Society
52,Djeca mogu ići u džamiju bezbjedno.,Children can go to the mosque safely.,,6.0,4.0,10,14.4,15.0,Religious buildings,Religion,Culture & Society,Youth,Youth,Culture & Society
56,U MZ Zalik nema sukoba na nacionalnoj osnovi.,There are no conflicts on the basis of nationality in MZ Zalik.,3.0,3.0,3.0,9,6.9,4.0,Ethno-religious identity,Social Relations,Culture & Society,Criminality and Legal Enforcement,Criminality and Legal Enforcement,Rights & Dignity
57,Rješavanje komunalnih problema u Zaliku ne traje dugo.,Solving communal problems (typically infrastructure-related) in Zalik doesn't take a long time.,5.0,,4.0,9,9.3,17.0,Political functionality,Governance,Rights & Dignity,Infrastructure,Infrastructure,Economic Activity & Livelihoods
58,U Zaliku nema pasa lutalica.,In Zalik there are no stray dogs.,3.0,1.0,5.0,9,10.7,,Animals,Social Programs / Social Services,Rights & Dignity,,,
59,Ljudi dobivaju poslove zato što su edukovani za njih.,People get jobs because they have been educated for them.,4.0,,5.0,9,20.2,19.0,Hiring & employment,Business,Economic Activity & Livelihoods,Education,Education,Rights & Dignity
60,"I kad su utakmice, smije se preći na drugu stranu grada bez straha od napada.","Even when football games are going on, you can go to the west side of the city without the fear of being attacked.",4.0,1.0,4.0,9,12.3,2.0,Activities,Sport,Culture & Society,Tranquility/security ,Tranquility/security ,Security
61,U školi se ne uči da djeca ne vole drugu djecu .,In school the kids aren't taught to not love other kids,2.0,,7.0,9,19.3,6.1,School inclusivness,Education,Rights & Dignity,Us V Them,Social Relations,Culture & Society
62,Učenici na putu u osnovnu školu koriste novoizgrađenu pasarelu umjesto sto prelaze cestu na nedozvoljenom mjestu.,Students on their way to primary school use the newly built footbridge (in Zalik) instead of crossing the road in an unauthorized place.,5.0,,4.0,9,21.3,2.3,Pedestrian Safety,Motor Vehicles ,Culture & Society,Movement,Tranquility/security ,Security
69,Starije generacije nisu zadojene mržnjom na nacionalnoj osnovi.,Older generations are not imbued with hatred on a nationality basis.,4.0,1.0,3.0,8,6.9,6.1,Ethno-religious identity,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
70,Nečiji babo ili otac ne kaže nekom dječaku: “Kakav si ti Mostarac ako živiš u Mahali a nisi član Sinova Mahale?”,"Someone's father won't say to a boy: ""What kind of a Mostarian are you if you live in Mostar but aren't a member of Sinovi Mahale (Sons of Mahala)?""",3.0,2.0,3.0,8,22.1,15.1,Gender norms,Gender,Culture & Society,Engagement,Youth,Culture & Society
71,U Zaliku ima više zelenih površina.,In Zalik there are more green areas,,2.0,6.0,8,3.1,3.8,Open Spaces,Public space,Culture & Society,Condition,Public space,Culture & Society
72,Utakmice između Veleža i Zrinjskog protiču bez nereda.,The football games between Velež and Zrinjski end without issues.,5.0,2.0,1.0,8,12.3,4.1,Activities,Sport,Culture & Society,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity
73,Direktori škola po bosanskom planu sa zadovoljstvom učestvuju u zajedničkim aktivnostima.,The principals of schools which use the Bosnian national curriculum participate in joint activities with pleasure.,4.0,,4.0,8,19.3,19.4,School inclusivness,Education,Rights & Dignity,Student activities,Education,Rights & Dignity
74,"Problem pasa lutalica se rješava, iako je popunjen azil za pse.","The problem of stray dogs is being solved, even though the dog shelter has reached its capacity.",,1.0,7.0,8,10.7,9.3,Animals,Social Programs / Social Services,Rights & Dignity,Political functionality,Governance,Rights & Dignity
81,Ljudi u Zaliku pomažu starijim komšijama.,People in Zalik help the older neighbors.,,4.0,3.0,7,6.6,6.1,Inter-generational Relations,Social Relations,Culture & Society,Us V Them,Social Relations,Culture & Society
82,Čovjek iz Zalika se pazi s novim komšijama.,A man from Zalik takes care of his new neighbors.,1.0,4.0,2.0,7,6.1,,Us V Them,Social Relations,Culture & Society,,,
83,"Teta u vrtiću „Sportić“ blizu Merkatora ne kaže mami Bošnjakinji koja želi da upiše svoje dijete tu, da će njena curica morati da priča hrvatski jezik.","The kindergarten teacher (female) at ""Sportić"" near the Mercator shopping mall doesn't say to a Bosniak mother who wants to sign up her kid to go there, that her little girl will have to speak Croatian.",,,7.0,7,6.8,19.3,Language,Social Relations,Culture & Society,School inclusivness,Education,Rights & Dignity
84,"Svi pacijenti se mogu pregledati, jer medicinski radnici ne štrajkuju.",All patients can get treated because their medical staff isn't on strike.,2.0,1.0,4.0,7,23.2,,Medical services,Health,Rights & Dignity,,,
85,Nema korupcije u policiji.,There's no corruption in the police.,1.0,1.0,5.0,7,4.2,5.1,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Accountability ,Police,Armed Actors
86,Roditelji mogu ostaviti dijete samo u stanu u Zaliku.,Parents can safely leave their kids alone at home in Zalik.,,4.0,3.0,7,2.0,15.2,Tranquility/security ,Tranquility/security ,Security,Infrastructure,Youth,Culture & Society
87,Curice idu same iz Gornjeg Zalika u Urban cafe.,Young girls walk from Gornji Zalik (Upper Zalik) to Urban cafe all alone.,1.0,2.0,4.0,7,2.3,15.2,Movement,Tranquility/security ,Security,Infrastructure,Youth,Culture & Society
88,U Zaliku se ne vide migranti na ulicama.,In Zalik migrants can't be seen on the streets.,4.0,1.0,2.0,7,6.7,3.1,Immigration,Social Relations,Culture & Society,Open Spaces,Public space,Culture & Society
96,Nije nikoga strah reći svoje ime na drugoj strani grada.,No one is afraid to say their name on the other side of the city.,1.0,,5.0,6,2.2,1.3,Confidence,Tranquility/security ,Security,Social,Integration and acceptance,Culture & Society
97,Vozači svojim vozilima ne zagrađuju izlaze s parkinga u Zaliku.,Drivers don't block parking lot exits with their cars in Zalik.,3.0,2.0,1.0,6,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
98,"Dječak prvog razreda osnovne ne pita drugo dijete: “Jesu li to prave najkice, jer znam da tvoja mama radi u butiku, a tata ne radi nikako.”","A first grader won't ask another kid: ""Are those real Nike shoes? Because I know your mom works at a boutique and your dad doesn't work at all.""",1.0,,5.0,6,20.8,15.5,Livelihoods,Business,Economic Activity & Livelihoods,Inclusion,Youth,Culture & Society
99,Ljudi u Zaliku znaju ko živi s njima (komšije).,People in Zalik know their neighbors.,2.0,2.0,2.0,6,6.1,3.2,Us V Them,Social Relations,Culture & Society,Public Ownership,Public space,Culture & Society
100,"Ako neko kaže kruh i neko kaže hljeb, oboje se poštuju.","If someone says kruh (the Croatian word for bread) and someone says hljeb (the Bosnian word for bread), both are respected.",,1.0,5.0,6,6.9,6.8,Ethno-religious identity,Social Relations,Culture & Society,Language,Social Relations,Culture & Society
101,Ljudi koji žive na Strelištu imaju vodosnabdijevanje.,People who live at Strelište (Shooting range) have a water supply system.,5.0,1.0,,6,17.0,10.6,Infrastructure,Infrastructure,Economic Activity & Livelihoods,Public utilities,Social Programs / Social Services,Rights & Dignity
